,crim,zn,river,rm,ptratio,medv
0,0.00632,18.0,0,6.575,15.3,24.0
1,0.02731,0.0,0,6.421,17.8,21.6
2,0.02729,0.0,0,7.185,17.8,34.7
3,0.032369999999999996,0.0,0,6.997999999999999,18.7,33.4
4,0.06905,0.0,0,7.147,18.7,36.2
5,0.02985,0.0,0,6.43,18.7,28.7
6,0.08829,12.5,0,6.0120000000000005,15.2,22.9
7,0.14455,12.5,0,6.172000000000001,15.2,27.1
8,0.21124,12.5,0,5.631,15.2,16.5
9,0.17004,12.5,0,6.004,15.2,18.9
10,0.22489,12.5,0,6.377000000000001,15.2,15.0
11,0.11747,12.5,0,6.0089999999999995,15.2,18.9
12,0.09378,12.5,0,5.888999999999999,15.2,21.7
13,0.62976,0.0,0,5.949,21.0,20.4
14,0.6379600000000001,0.0,0,6.096,21.0,18.2
15,0.62739,0.0,0,5.834,21.0,19.9
16,1.05393,0.0,0,5.935,21.0,23.1
17,0.7842,0.0,0,5.99,21.0,17.5
18,0.80271,0.0,0,5.456,21.0,20.2
19,0.7258,0.0,0,5.727,21.0,18.2
